ingest_date,ingest_ts,marketplace,category,subcategory,rank,rank_prev_day,asin,product_title,brand,price_inr,mrp_inr,discount_pct,rating,review_count,is_mover_shaker,rank_delta,product_url,image_url,_raw_json
2026-07-07,2026-07-07T16:17:53.591671,in,Health & Wellness,,22,22,B0G48NG41R,"Wuuff&Meow GimCat Premium Cat Multi-Vitamin Paste with 13 Vitamins, Oils, Zinc, Biotin, L-Carnitine for Immunity Support, Ski",Meo,846.0,846.0,0,4.7,9,0,0,https://www.amazon.in/Wuuff-Meow-Multi-Vitamin-Vitamins-L-Carnitine/dp/B0G48NG41R/ref=zg_bs_g_4771384031_d_sccl_23/522-4724523-7365803?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71YuSM-bvmL._AC_UL300_SR300,200_.jpg","{""title"": ""Wuuff&Meow GimCat Premium Cat Multi-Vitamin Paste with 13 Vitamins, Oils, Zinc, Biotin, L-Carnitine for Immunity Support, Ski"", ""url"": ""https://www.amazon.in/Wuuff-Meow-Multi-Vitamin-Vitamins-L-Carnitine/dp/B0G48NG41R/ref=zg_bs_g_4771384031_d_sccl_23/522-4724523-7365803?psc=1"", ""category_key"": ""health_wellness""}"
2026-07-07,2026-07-07T16:17:53.591671,in,Health & Wellness,,23,23,B0FS78PLDZ,"Cat Collar, Cat Neck Collar for Small Cats and Dogs, Soft E Collar for Cats Post Surgery, Comfortable Cat Cone Collar with Be",Cat,669.0,669.0,0,3.8,15,0,0,https://www.amazon.in/Collar-Surgery-Comfortable-Design-Circumference/dp/B0FS78PLDZ/ref=zg_bs_g_4771384031_d_sccl_24/522-4724523-7365803?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61QnKt6Y9jL._AC_UL300_SR300,200_.jpg","{""title"": ""Cat Collar, Cat Neck Collar for Small Cats and Dogs, Soft E Collar for Cats Post Surgery, Comfortable Cat Cone Collar with Be"", ""url"": ""https://www.amazon.in/Collar-Surgery-Comfortable-Design-Circumference/dp/B0FS78PLDZ/ref=zg_bs_g_4771384031_d_sccl_24/522-4724523-7365803?psc=1"", ""category_key"": ""health_wellness""}"
2026-07-07,2026-07-07T16:17:53.591671,in,Health & Wellness,,24,24,B00C37XFNC,"Palamountains My Beau for Cats – Omega 3 & 6, Essential Vitamins – Enhances Skin, Coat, Immunity, Digestion & Reduces Fur Bal",Palamountains,1300.0,1300.0,0,4.3,346,0,0,https://www.amazon.in/Palamountains-Beau-Cats-Essential-Absorption/dp/B00C37XFNC/ref=zg_bs_g_4771384031_d_sccl_25/522-4724523-7365803?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/712KhaHLHGL._AC_UL300_SR300,200_.jpg","{""title"": ""Palamountains My Beau for Cats \u2013 Omega 3 & 6, Essential Vitamins \u2013 Enhances Skin, Coat, Immunity, Digestion & Reduces Fur Bal"", ""url"": ""https://www.amazon.in/Palamountains-Beau-Cats-Essential-Absorption/dp/B00C37XFNC/ref=zg_bs_g_4771384031_d_sccl_25/522-4724523-7365803?psc=1"", ""category_key"": ""health_wellness""}"
2026-07-07,2026-07-07T16:17:53.591671,in,Health & Wellness,,25,25,B0FBGBS845,"Goofy Tails Feline Vitality+(100Mlx1Pack) Liquid Immunity Booster for Cats, Cat Coat Supplement, Gut Supplement, Boosted with",Goofy,169.0,169.0,0,4.2,20,0,0,https://www.amazon.in/Goofy-Tails-Feline-Vitality-Curcuminoids/dp/B0FBGBS845/ref=zg_bs_g_4771384031_d_sccl_26/522-4724523-7365803?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61J0mjj14IL._AC_UL300_SR300,200_.jpg","{""title"": ""Goofy Tails Feline Vitality+(100Mlx1Pack) Liquid Immunity Booster for Cats, Cat Coat Supplement, Gut Supplement, Boosted with"", ""url"": ""https://www.amazon.in/Goofy-Tails-Feline-Vitality-Curcuminoids/dp/B0FBGBS845/ref=zg_bs_g_4771384031_d_sccl_26/522-4724523-7365803?psc=1"", ""category_key"": ""health_wellness""}"
2026-07-07,2026-07-07T16:17:53.591671,in,Health & Wellness,,26,26,B0CW1NRHBL,Petroyale Multivitamin Chews for Cats - Cat Multivitamin Tablets - Cat Health Supplement - Daily Supplements for Cats - for G,Petroyale,478.0,478.0,0,4.2,5,0,0,https://www.amazon.in/Petroyale-Multivitamin-Chews-Cats-Supplements/dp/B0CW1NRHBL/ref=zg_bs_g_4771384031_d_sccl_27/522-4724523-7365803?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71E+7tGqCJL._AC_UL300_SR300,200_.jpg","{""title"": ""Petroyale Multivitamin Chews for Cats - Cat Multivitamin Tablets - Cat Health Supplement - Daily Supplements for Cats - for G"", ""url"": ""https://www.amazon.in/Petroyale-Multivitamin-Chews-Cats-Supplements/dp/B0CW1NRHBL/ref=zg_bs_g_4771384031_d_sccl_27/522-4724523-7365803?psc=1"", ""category_key"": ""health_wellness""}"
2026-07-07,2026-07-07T16:17:53.591671,in,Health & Wellness,,27,27,B0DKBHLX3W,"Biotin and Taurine, 75 Tablets for Dogs & Cats, for Healthy Skin & Hairs.",Biotin,335.0,335.0,0,3.8,19,0,0,https://www.amazon.in/Biotin-Taurine-Tablets-Healthy-Hairs/dp/B0DKBHLX3W/ref=zg_bs_g_4771384031_d_sccl_28/522-4724523-7365803?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51sE6tEMcjL._AC_UL300_SR300,200_.jpg","{""title"": ""Biotin and Taurine, 75 Tablets for Dogs & Cats, for Healthy Skin & Hairs."", ""url"": ""https://www.amazon.in/Biotin-Taurine-Tablets-Healthy-Hairs/dp/B0DKBHLX3W/ref=zg_bs_g_4771384031_d_sccl_28/522-4724523-7365803?psc=1"", ""category_key"": ""health_wellness""}"
2026-07-07,2026-07-07T16:17:53.591671,in,Health & Wellness,,28,28,B0FDLGCHFZ,(OG) DD Presents KIWOFF Easy Chews for Cats and Kittens,(OG),449.0,449.0,0,4.7,11,0,0,https://www.amazon.in/DD-Presents-KIWOFF-Chews-Kittens/dp/B0FDLGCHFZ/ref=zg_bs_g_4771384031_d_sccl_29/522-4724523-7365803?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61th8qO464L._AC_UL300_SR300,200_.jpg","{""title"": ""(OG) DD Presents KIWOFF Easy Chews for Cats and Kittens"", ""url"": ""https://www.amazon.in/DD-Presents-KIWOFF-Chews-Kittens/dp/B0FDLGCHFZ/ref=zg_bs_g_4771384031_d_sccl_29/522-4724523-7365803?psc=1"", ""category_key"": ""health_wellness""}"
2026-07-07,2026-07-07T16:17:53.591671,in,"Collars, Leashes & Harnesses",,1,1,B0CY9LRRDX,Agirav No Pull Dog Harness - Step in Dog Harness and Leash for Small Medium Large Dog - Escape Proof Adjustable Soft Leash Co,Agirav,174.0,174.0,0,3.8,1709,0,0,https://www.amazon.in/Agirav-Pull-Dog-Harness-Adjustable/dp/B0CY9LRRDX/ref=zg_bs_g_4771392031_d_sccl_1/522-4724523-7365803?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/51ez5oWoCSL._AC_UL300_SR300,200_.jpg","{""title"": ""Agirav No Pull Dog Harness - Step in Dog Harness and Leash for Small Medium Large Dog - Escape Proof Adjustable Soft Leash Co"", ""url"": ""https://www.amazon.in/Agirav-Pull-Dog-Harness-Adjustable/dp/B0CY9LRRDX/ref=zg_bs_g_4771392031_d_sccl_1/522-4724523-7365803?psc=1"", ""category_key"": ""collars_leashes""}"
2026-07-07,2026-07-07T16:17:53.591671,in,"Collars, Leashes & Harnesses",,2,2,B0BT4VLWHP,Wooflix Heavy Duty Nylon Dog Leash | Anti Slip Padded Handle Long Dog Leash | Highly Reflective Leash for Dogs | Dog Rope for,Wooflix,379.0,379.0,0,4.4,715,0,0,https://www.amazon.in/Wooflix-Leash-Medium-Harness-Reflective/dp/B0BT4VLWHP/ref=zg_bs_g_4771392031_d_sccl_2/522-4724523-7365803?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71mv7oAPiaL._AC_UL300_SR300,200_.jpg","{""title"": ""Wooflix Heavy Duty Nylon Dog Leash | Anti Slip Padded Handle Long Dog Leash | Highly Reflective Leash for Dogs | Dog Rope for"", ""url"": ""https://www.amazon.in/Wooflix-Leash-Medium-Harness-Reflective/dp/B0BT4VLWHP/ref=zg_bs_g_4771392031_d_sccl_2/522-4724523-7365803?psc=1"", ""category_key"": ""collars_leashes""}"
2026-07-07,2026-07-07T16:17:53.591671,in,"Collars, Leashes & Harnesses",,3,3,B0DSG7G27R,"Pawpro Adjustable Nylon Dog Collar with Secure D-Ring from Small - Medium to Large Breeds (Brown, Large)",Pawpro,199.0,199.0,0,4.1,840,0,0,https://www.amazon.in/Pawpro-Adjustable-Collar-Secure-D-Ring/dp/B0DSG7G27R/ref=zg_bs_g_4771392031_d_sccl_3/522-4724523-7365803?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71JDZ1uGD2L._AC_UL300_SR300,200_.jpg","{""title"": ""Pawpro Adjustable Nylon Dog Collar with Secure D-Ring from Small - Medium to Large Breeds (Brown, Large)"", ""url"": ""https://www.amazon.in/Pawpro-Adjustable-Collar-Secure-D-Ring/dp/B0DSG7G27R/ref=zg_bs_g_4771392031_d_sccl_3/522-4724523-7365803?psc=1"", ""category_key"": ""collars_leashes""}"
