canonical_product_id,product_cluster_id,canonical_title,brand,species,category,subcategory,life_stage,breed_size,form_factor,flavor,functional_claim,pack_size_value,pack_size_unit,price_per_kg_last,dog_cat_confidence,taxonomy_confidence,first_seen_date,last_seen_date,is_active
d16832e32fb7f621,d16832e32fb7f621,Royal Canin Maxi Adult 1 Kg Dry Adult Dog Food,royal canin,dog,dog_food,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
5d7b1959445bf427,5d7b1959445bf427,"Agirav Dog and Puppy Toy Set - Chew, Teething, Rope, and Tug Toys for Small to Medium Dogs - Washable Cotton Pack of 12",agirav,dog,dog_toys,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
ed97e2272c207e2c,ed97e2272c207e2c,"Amazon Basics Faux Fur Donut Pet Bed |Small (50 x 50 x 12 cm) | Color -Brown | Reversible, Washable, Cozy Mat for Cats & Dogs",amazon basics,both,beds_accessories,,,,,,,,,,0.75,0.85,2026-07-07,2026-07-07,True
494393af2f5265eb,494393af2f5265eb,Emily Pets Cat Scratcher Cardboard 2 in 1 Reversible Scratching Pad Recyclable Corrugated Scratch Toy with Wave Shape & 10ML,emily,cat,beds_accessories,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
49cc480dc879e26b,49cc480dc879e26b,"PetVogue Dog Nail Cutter Clipper and filer,Claw & Nails Clippers Grinder Grooming Trimmer for Small, Medium, Large dogs and c",petvogue,dog,grooming,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
d9979ee004816968,d9979ee004816968,Pet Clean Primrose Oil Eye & Ear Pads - Gentle Care for Dogs & Cats - 50 Count (Pack of 1),,both,health_wellness,,,,,,,,,,0.75,0.85,2026-07-07,2026-07-07,True
9b4e77828c947ff2,9b4e77828c947ff2,"Buraq No Pull Cat Harness with Leash, Escape Proof, Ultra-Light Weight, Air Mesh Fabric, Aesthetic Design Adjustable Cat Leas",buraq,cat,collars_leashes,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
1381fe3a100aecec,1381fe3a100aecec,"Amazon Basics Plush Fur Fabic Multistory Cat Tree with Condos, Perches and Sctraching Post Furry Hanging Ball, Dark Beige wit",amazon basics,cat,beds_accessories,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
56a8bf6d425cfae7,56a8bf6d425cfae7,Agirav No Pull Dog Harness - Step in Dog Harness and Leash for Small Medium Large Dog - Escape Proof Adjustable Soft Leash Co,agirav,dog,collars_leashes,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
ccf7c0628619e2aa,ccf7c0628619e2aa,Canine Creek Ultra Premium Grain Free Formula Real Chicken 13.5 kg Dry Adult Dog Food,canine,dog,dog_food,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
c956e3ce79f4e881,c956e3ce79f4e881,Drools Adult Nutrition Chicken and Egg Egg 1.2 kg Dry Adult Dog Food,drools,dog,dog_food,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
1219ecab1e794b00,1219ecab1e794b00,"P for PET Grooming Wet Wipes 300 Count(Pack of 3) for Dogs, Cats & All Pets | Purified Water, Glycerin |Anti-Bacterial|Cleans",p,both,grooming,,,,,,,,,,0.75,0.85,2026-07-07,2026-07-07,True
8c3a120810e87085,8c3a120810e87085,"Pawzone Interactive Cat Toys Roller, Spring Cat Toys with Catnip, Kitten Tracks, Pet Toy with Moving Balls Teaser Mouse Exerc",pawzone,cat,cat_toys,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
51cb78901eae8c84,51cb78901eae8c84,"Canine Creek Starter dry dog food , Ultra Premium Chicken 13.5 Kg Dry New Born Dog Food",canine,dog,dog_food,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
1703df8ec624c055,1703df8ec624c055,Royal Canin Maxi Puppy 1 kg Dry Young Dog Food,royal canin,dog,dog_food,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
eafb2e93ce979a64,eafb2e93ce979a64,"Absolut Pet Dog Supplement for Gut Health, Probiotics for Dogs That Reduces Scratching & Paw-Licking (30 Chews)",absolut,dog,health_wellness,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
bde6d74e3e0887be,bde6d74e3e0887be,Meat Up Adult Dry Dog Food 6kg (3kg + 3kg) | Chicken Flavour | Glucosamine for Healthy Joints & Bones | Enriched with Vitamin,meat up,dog,dog_food,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
80ad5e9c767fcf99,80ad5e9c767fcf99,"ZEXSAZONE Round Donut Pet Bed for Cats and Puppies Dogs mat, Cozy and Plush, Raised Bedside Support, Both Sides Use Like 2 in",zexsazone,both,beds_accessories,,,,,,,,,,0.75,0.85,2026-07-07,2026-07-07,True
d160a5a9a90a9811,d160a5a9a90a9811,"PUPPEE Wipe ME 100% Biodegradable 96 Count (Pack of 2) Wet Wipes for Dogs, Cats & All Pets | Lavender Essential, Vitamin E &",puppee,both,grooming,,,,,,,,,,0.75,0.85,2026-07-07,2026-07-07,True
e1b0b429bb764c87,e1b0b429bb764c87,"Zoivane 5 in 1 Extra White Cat Shampoo with Conditioner|100% Natural Active Ingredients| Allergy Relief, Anti-microbial, Conditioning, Whitening and Color Enhancing Floral and Sweet Cat Shampoo",zoivane,cat,grooming,,,,,,,,,,0.95,0.85,2026-07-07,2026-07-07,True
