snapshot_date,source,source_market,product_id,product_title,brand,species,category,rank_position,price,currency,rating,review_count,sold_count,video_count,creator_count,engagement_score,source_url,image_url,fetch_method,compliance_status,computed_ts,global_signal_score,signal_basis,rank_position_global
2026-07-09,amazon_us,US,B0B2NKLVCS,"FUKUMARU Cat Scratcher, 26.8 Inch L Shape Cat Scratch Pad Wall Mounted, Cat Scratching Cardboard with Ball Toy for Indoor Cat",fukumaru,cat,beds_accessories,4,18.71,USD,4.5,17379,,,,,https://www.amazon.com/FUKUMARU-Scratcher-Scratch-Scratching-Cardboard/dp/B0B2NKLVCS/ref=zg_bs_g_2975243011_d_sccl_4/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/710Pbd4i8fL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,82.6,rank+rating (no price on amazon.com list page),38
2026-07-09,amazon_us,US,B003CL3PTM,"Hill's Science Diet Adult 1-6 Small & Mini Dry Dog Food, Chicken & Brown Rice, 4.5 lb. Bag",hills,dog,dog_food,5,,USD,4.8,26081,,,,,https://www.amazon.com/HillS-Science-Diet-Chicken-Recipe/dp/B003CL3PTM/ref=zg_bs_g_2975359011_d_sccl_5/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/811D-qkHlyL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,82.42,rank+rating (no price on amazon.com list page),39
2026-07-09,amazon_us,US,B01BKYFR7K,"IAMS Proactive Health Dry Cat Food, Indoor Weight and Hairball Care Cat Food Dry Recipe, with Real Chicken in Every Bite, 7 l",iams,cat,cat_food,5,,USD,4.8,37381,,,,,https://www.amazon.com/Iams-Proactive-Hairball-Chicken-Packaging/dp/B01BKYFR7K/ref=zg_bs_g_2975265011_d_sccl_7/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71FIIsgfS-L._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,82.42,rank+rating (no price on amazon.com list page),40
2026-07-09,amazon_us,US,B0D6W8B4FM,"TBTeek Cat Toys, Rechargeable, 3 Light Modes & 5 Fun Patterns, Portable Interactive Kitten Pet Dog Cat Mouse Toy for Fun Chas",tbteek,both,cat_toys,3,7.98,USD,4.6,4558,,,,,https://www.amazon.com/TBTeek-Adjustable-Patterns-Rechargeable-Interactive/dp/B0D6W8B4FM/ref=zg_bs_g_2975303011_d_sccl_3/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61PegWwFglL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,82.12,rank+rating (no price on amazon.com list page),41
2026-07-09,amazon_us,US,B0CGCS344P,"Supet Inflatable Dog Cone Collar Alternative After Surgery, Doggie Neck Donut Collar Recovery ECollar, Soft Dog Cone for Smal",supet,dog,health_wellness,3,19.98,USD,4.1,7841,,,,,https://www.amazon.com/Supet-Inflatable-Alternative-Surgery-Recovery/dp/B0CGCS344P/ref=zg_bs_g_2975276011_d_sccl_3/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61a6+jNKU5L._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,82.12,rank+rating (no price on amazon.com list page),42
2026-07-09,amazon_us,US,B084HMMQ8M,"Providence Engraving Pet ID Tags in 8 Shapes, 9 Colors, and Two Sizes - Personalized Dog and Cat Tags with 4 Lines of Customi",providence,both,collars_leashes,5,4.89,USD,4.7,70652,,,,,https://www.amazon.com/Providence-Engraving-Shapes-Colors-Sizes/dp/B084HMMQ8M/ref=zg_bs_g_2975252011_d_sccl_6/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/814XMbFvb0L._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,81.93,rank+rating (no price on amazon.com list page),43
2026-07-09,amazon_us,US,B0DPDKW3B4,Name Pattern Art Design - Dog Tags Personalized for Pets - Custom Cats Dogs ID Tag - Stainless Steel Deep Engraving (Bone),name,both,collars_leashes,4,6.95,USD,4.8,4975,,,,,https://www.amazon.com/MEOW-WOOF-Flower-Pattern-Design/dp/B0DPDKW3B4/ref=zg_bs_g_2975252011_d_sccl_5/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71CUtK2KE2L._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,81.8,rank+rating (no price on amazon.com list page),44
2026-07-09,amazon_us,US,B00OQYBWPI,Chuckit! Ultra Ball Dog Toy - Medium Bouncy Fetch Balls For Dogs 20-60 lbs - Made from Durable Rubber - Floating Water Pet To,chuckit,dog,dog_toys,4,11.18,USD,4.8,4603,,,,,https://www.amazon.com/Chuckit-Ultra-Ball-Dog-Toy/dp/B00OQYBWPI/ref=zg_bs_g_2975413011_d_sccl_4/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/714ZBKyX-KL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,81.49,rank+rating (no price on amazon.com list page),45
2026-07-09,amazon_us,US,B00DT2WL26,"Catstages Tower of Tracks Cat Toy – 3-Level Track Tower with 6 Balls, Interactive Cat Toy for Indoor Enrichment",catstages,cat,cat_toys,5,14.99,USD,4.6,71340,,,,,https://www.amazon.com/Catstages-Tracks-Interactive-3-Tier-Spinning/dp/B00DT2WL26/ref=zg_bs_g_2975303011_d_sccl_5/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/81cJvfOdmlL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,81.44,rank+rating (no price on amazon.com list page),46
2026-07-09,amazon_us,US,B0CLLPVZRV,"Swihauk Self Cleaning Slicker Brush - Skin Friendly Deshedding Grooming Tool for Dogs & Cats, Suitable for Shedding & Haired",swihauk,both,grooming,5,13.29,USD,4.6,13135,,,,,https://www.amazon.com/Swihauk-Cleaning-Friendly-Grooming-Deshedding/dp/B0CLLPVZRV/ref=zg_bs_g_2975362011_d_sccl_5/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/61B-7qGE7eL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,81.44,rank+rating (no price on amazon.com list page),47
2026-07-09,amazon_us,US,B0DLRH694Y,"BABORUI Interactive Cat Toy Ball - Automatic Interactive Cat Toys for Indoor Cats with 3 Tails, 2 Speeds Rechargeable Cat Enr",baborui,cat,cat_toys,2,9.98,USD,4.1,4507,,,,,https://www.amazon.com/BABORUI-Interactive-Cat-Toy-Ball/dp/B0DLRH694Y/ref=zg_bs_g_2975303011_d_sccl_2/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71WDlQPY9uL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,81.27,rank+rating (no price on amazon.com list page),48
2026-07-09,amazon_us,US,B071J1BFTX,"Cesar Wet Dog Food Classic Loaf in Sauce Grilled Chicken, Filet Mignon, Porterhouse Steak, Beef, Chicken & Liver and Turkey V",cesar,dog,dog_food,4,,USD,4.7,4730,,,,,https://www.amazon.com/Cesar-Classics-Adult-Variety-Ounces/dp/B071J1BFTX/ref=zg_bs_g_2975359011_d_sccl_4/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/815umyp16mL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,81.1,rank+rating (no price on amazon.com list page),49
2026-07-09,amazon_us,US,B076YLYVW8,"Minties Dog Dental Bone Treats, Tiny/Small Dental Dog Treats, 16 Ounces, Cleans Teeth, Fight Bad Breath, Removes Plaque and T",minties,dog,health_wellness,5,9.94,USD,4.5,36669,,,,,https://www.amazon.com/Minties-VetIQ-Dental-Treats-Chews/dp/B076YLYVW8/ref=zg_bs_g_2975377011_d_sccl_6/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71OPBDvpTRL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,80.95,rank+rating (no price on amazon.com list page),50
2026-07-09,amazon_us,US,B098P6164W,"Aumuca Cat Brush for Shedding, Cat Brushes for Indoor Cats, Cat Brush for Long or Short Haired Cats, Cat Grooming Brush Cat C",aumuca,cat,grooming,5,14.99,USD,4.4,37207,,,,,https://www.amazon.com/Aumuca-Shedding-Grooming-Cleaning-Undercoat/dp/B098P6164W/ref=zg_bs_g_2975268011_d_sccl_5/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71qfz1I1S+L._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,80.46,rank+rating (no price on amazon.com list page),51
2026-07-09,amazon_us,US,B000R4H2MI,"Purina ONE Natural Dry Cat Food, Tender Selects Blend With Real Salmon - 7 lb. Bag",purina,cat,cat_food,6,,USD,4.7,26823,,,,,https://www.amazon.com/Purina-ONE-Tender-Selects-Salmon/dp/B000R4H2MI/ref=zg_bs_g_2975265011_d_sccl_8/141-1609880-8673648?psc=1,"https://images-na.ssl-images-amazon.com/images/I/71JWH8vsaSL._AC_UL300_SR300,200_.jpg",html_scrape,public_page_no_login,2026-07-09T17:46:55.889028,80.28,rank+rating (no price on amazon.com list page),52
