snapshot_date,source,product_id,product_title,brand,mapped_india_category,india_category_relevance,india_availability,global_opportunity_bucket,global_opportunity_score,reason
2026-07-09,amazon_us,B099WM7ZT7,"Taglory Rope Dog Leash for Medium Large Dogs, 6 FT Padded Handle, Black | Climbing rope for strong pullers; reflective for ni",taglory,collars_leashes,1.0,False,not_yet_available_in_india,84.63,Category 'collars_leashes' already sold in India; brand 'taglory' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B09BBM5CX8,"Best Pet Supplies Interactive Squeaky Dog Chew Toy, Ideal Dog Toys for Chewers, Small, Medium & Large Dogs, and Fetch Lovers",best,dog_toys,1.0,False,not_yet_available_in_india,84.44,Category 'dog_toys' already sold in India; brand 'best' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B009IOCCD2,Purina ONE Dry Dog Food Lamb and Rice Formula - 31.1 lb. Bag,purina,dog_food,1.0,False,not_yet_available_in_india,84.33,Category 'dog_food' already sold in India; brand 'purina' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B00VC8DQX2,"SleekEZ Dog Brush for Shedding | Patented Deshedding Dog Brush | Pet Hair Remover for Short, Medium & Long Coats | Made in US",sleekez,grooming,1.0,False,not_yet_available_in_india,84.33,Category 'grooming' already sold in India; brand 'sleekez' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B0009F3MLA,"Hartz UltraGuard Flea & Tick Collar for Cats and Kittens, 7 Month Flea and Tick Protection and Prevention, White",hartz,collars_leashes,1.0,False,not_yet_available_in_india,84.15,Category 'collars_leashes' already sold in India; brand 'hartz' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B00CPDWT2M,"Benebone Wishbone Durable Dog Chew Toy for Aggressive Chewers, Real Bacon, Made in USA, Medium",benebone,dog_toys,1.0,False,not_yet_available_in_india,84.04,Category 'dog_toys' already sold in India; brand 'benebone' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B0BDLGZCTY,"EHEYCIGA Orthopedic Dog Beds for Extra Large Dogs 44x32Inch, Waterproof Memory Foam XL Pet Bed with Sides, Non-Slip and Egg-C",eheyciga,beds_accessories,1.0,False,not_yet_available_in_india,84.04,Category 'beds_accessories' already sold in India; brand 'eheyciga' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B00B8CG5NK,Seresto Cat Vet-Recommended Flea & Tick Treatment & Prevention Collar for Cats | 8 Months Protection,seresto,collars_leashes,1.0,False,not_yet_available_in_india,84.04,Category 'collars_leashes' already sold in India; brand 'seresto' not seen in today's India gold data - potential white-space opportunity.
2026-07-09,amazon_us,B07FJQYVZ6,"Virbac C.E.T.® VEGGIEDENT® FR3SH® Tartar Control Chews for Dogs with digestive health support, VOHC Approved, Medium 22-66lbs",virbac,health_wellness,1.0,True,already_available_in_india,83.91,Brand 'virbac' already tracked in India gold data; global signal may indicate a rising SKU/variant to prioritize.
2026-07-09,amazon_us,B013NUFA62,ProDen PlaqueOff Powder for Pets - Cat & Dog Breath Freshener - Plaque & Tartar Remover for Pet Oral Care - 60g,proden,health_wellness,1.0,True,already_available_in_india,83.73,Brand 'proden' already tracked in India gold data; global signal may indicate a rising SKU/variant to prioritize.
2026-07-09,amazon_us,B085MH756K,"GoTags Stainless Steel Pet ID Tags, Personalized Dog Tags and Cat Tags, up to 8 Lines of Custom Text, Engraved on Both Sides,",gotags,collars_leashes,1.0,False,not_yet_available_in_india,83.64,Category 'collars_leashes' already sold in India; brand 'gotags' not seen in today's India gold data - potential white-space opportunity.
